date,ville,latitude,longitude,descr_cat_veh,descr_agglo,descr_athmo,descr_lum,descr_etat_surf,age,place,descr_dispo_secu,descr_grav
4940,7182,48.3667,3.53333,0,1,5,3,6,28,1,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,24,4,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,27,4,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,48,0,14,0
6007,1360,48.3333,4.7,0,1,3,4,7,50,0,14,0
5685,5743,48.2333,4.61667,0,1,3,4,7,30,0,14,0
4874,6249,48.2667,4.1,0,1,3,3,7,34,0,14,0
4686,1657,49.85,2.63333,0,1,3,3,7,20,0,14,0
4808,2974,46.9,-0.333333,0,1,5,3,6,22,0,14,0
4739,2201,43.1,5.88333,0,1,3,3,7,30,0,14,0
66,2459,46.3167,2.26667,1,1,3,4,7,29,0,14,0
598,4544,46.1667,2.01667,0,1,3,3,7,61,0,14,0
2875,7083,42.6333,2.75,0,1,3,4,7,26,0,14,0
3777,7281,42.4667,1.93333,0,1,3,4,7,57,0,14,0
4197,3295,42.5833,2.11667,0,1,3,4,7,22,0,14,0
6187,1127,48.75,3.98333,1,1,3,0,7,45,0,14,0
5920,5995,49.0167,4.41667,0,1,3,4,7,24,0,14,0
3648,1124,43.6833,1.4,0,1,3,1,7,29,0,14,0
4246,1207,49.1667,2.68333,0,1,3,4,7,36,1,14,0
4246,1207,49.1667,2.68333,0,1,3,4,7,49,0,14,0
6118,383,49.3833,2.58333,1,1,5,4,6,47,0,14,0
6373,4794,42.55,1.83333,0,1,2,4,6,21,0,14,0
2575,3430,46.8667,-1.1,0,1,3,4,7,37,0,14,0
4804,4072,46.5833,-1.51667,0,1,3,3,7,25,0,14,0
4856,2178,46.6667,-1.43333,0,1,3,4,7,8,2,14,0
4856,2178,46.6667,-1.43333,0,1,3,4,7,40,0,14,0
8017,7075,46.6167,-1.25,1,1,3,4,7,41,0,14,0
8756,6203,46.7833,-2.06667,0,1,3,3,7,39,0,14,0
8756,6203,46.7833,-2.06667,0,1,3,3,7,42,0,14,0
1961,4609,48.4667,7.71667,1,1,1,4,7,44,0,14,0
1961,4609,48.4667,7.71667,0,1,1,4,7,73,1,14,0
1607,7117,44.3833,0.316667,0,1,5,4,6,76,0,14,0
3319,4925,44.5,1.13333,0,1,3,4,7,43,0,14,0
3319,4925,44.5,1.13333,0,1,3,4,7,27,0,14,0
6297,2869,48.0667,-0.933333,1,1,8,4,7,32,0,14,0
5583,2957,48.0667,-0.633333,0,1,3,4,7,27,0,14,0
973,7434,46.9833,5.61667,0,1,1,4,7,38,0,14,0
5682,2455,47.15,5.63333,1,1,3,4,7,47,0,14,0
6172,776,47.1,5.5,0,1,3,3,7,35,0,14,0
1001,758,47.7333,3.4,0,1,3,4,7,23,0,14,0
1001,758,47.7333,3.4,4,1,3,4,7,28,0,8,0
5117,145,43.1333,-0.466667,1,1,3,3,7,38,0,14,0
6375,6554,43.35,-1.55,0,1,4,4,6,32,0,14,0
3413,3228,44.5,0.166667,0,1,3,4,7,38,0,14,0
5154,7305,43.9333,2.85,1,1,3,4,7,60,0,14,0
6374,6645,44.4,2.03333,0,1,6,4,2,26,0,14,0
238,5239,50.7,3.16667,0,1,6,4,7,30,0,7,0
2068,4069,50.7,2.83333,0,1,3,4,7,23,0,14,0
3174,7946,50.7,3.21667,0,1,3,1,7,51,0,7,0
2583,634,50.6667,3.15,0,1,3,4,7,27,0,7,0
9007,1753,43.3583,-1.775,0,1,4,4,6,67,0,14,0
9041,7622,46.6833,-0.25,0,1,3,4,7,35,0,14,0
9041,7622,46.6833,-0.25,0,1,3,4,7,36,0,14,0
3132,6269,48.5167,0.533333,1,1,5,0,6,47,0,14,0
1104,2571,45.1167,5.7,0,1,3,3,7,25,0,14,0
1933,2224,45.6333,5.15,0,1,3,3,7,66,0,14,0
2594,3709,44.9667,5.7,1,1,4,3,6,46,0,14,0
8138,5926,47.3333,-0.183333,0,1,3,3,7,33,0,14,0
6751,4849,42.9923,-0.0730556,0,1,3,4,7,41,0,14,0
2041,4695,43.5312,0.844722,0,1,1,4,6,37,0,14,0
8407,6073,44.0667,2.98333,0,1,3,4,7,71,0,14,0
8543,6859,44.3667,0.15,0,1,3,3,7,27,0,14,0
9120,4731,44.2333,0.683333,0,1,5,4,6,19,0,14,0
9120,4731,44.2333,0.683333,0,1,5,4,6,17,3,14,0
9120,4731,44.2333,0.683333,0,1,5,4,6,19,1,14,0
3348,7881,45.6333,5.9,0,1,3,4,7,27,0,14,0
3169,6520,45.2667,6.33333,0,1,7,4,7,26,0,14,0
3780,1231,45.2464,6.30251,0,1,2,4,8,21,0,14,0
5467,6193,45.7,5.83333,1,1,3,4,7,38,0,14,0
5582,1606,45.7167,5.95,0,1,3,4,7,32,0,14,0
4278,554,45.7167,-0.583333,0,1,3,3,7,26,0,14,0
5399,3952,46.0333,-0.833333,1,1,3,4,7,40,0,14,0
7119,3285,47.7833,7.0,0,1,3,4,7,21,0,14,0
8184,4978,47.4667,7.36667,0,1,3,4,7,76,0,14,0
4169,2029,49.1167,2.23333,0,1,7,4,7,22,0,14,0
1624,5868,47.25,-2.16667,1,0,3,4,7,62,0,14,0
1894,4386,48.8925,2.3444,4,0,3,4,7,29,0,7,0
43,4386,48.8925,2.3444,2,0,3,1,6,31,0,11,0
626,4380,48.8352,2.4458,4,0,3,4,7,34,0,14,0
557,4378,48.8761,2.3602,0,0,3,4,7,33,0,7,0
670,4380,48.8352,2.4458,0,0,3,1,7,52,0,14,0
504,4381,48.8283,2.3627,0,0,3,4,7,43,0,14,0
2470,4380,48.8352,2.4458,0,0,0,4,0,50,0,14,0
2572,4374,48.8493,2.3324,0,0,6,4,6,38,0,14,0
1434,4461,42.6833,2.88333,0,0,3,4,7,69,0,14,0
2194,5874,48.5167,-2.78333,0,0,3,1,7,29,0,14,0
1712,4667,47.9833,-4.18333,0,0,3,0,7,80,0,14,0
598,3200,46.5345,0.782223,0,0,3,1,7,61,0,14,0
956,5400,47.95,1.88333,0,0,3,0,8,46,0,14,0
956,5400,47.95,1.88333,0,0,3,0,8,54,0,7,0
4620,4388,48.8632,2.4001,0,0,3,4,7,42,0,7,0
6614,4388,48.8632,2.4001,0,0,3,4,7,44,0,14,0
1410,1323,49.2833,2.91667,0,0,3,1,6,43,0,14,0
593,7835,47.5833,1.38333,0,0,2,1,3,20,0,14,0
593,7835,47.5833,1.38333,0,0,2,1,3,37,0,14,0
89,7835,47.5833,1.38333,0,0,3,1,7,80,0,14,0
558,7635,47.8,7.13333,0,0,3,4,7,39,0,14,0
384,5629,47.7833,6.98333,0,0,0,1,8,19,0,14,0
518,1887,48.1,7.3,0,0,3,1,7,47,0,14,0
1831,5197,48.5167,3.71667,4,0,3,4,7,42,0,7,0
2267,6342,48.65,-2.01667,0,0,3,1,7,21,0,14,0
48,5058,48.0833,-1.68333,0,0,3,1,7,32,0,14,0
48,5058,48.0833,-1.68333,0,0,3,1,7,34,0,14,0
2657,5451,47.2667,-0.083333,4,0,3,4,7,59,0,14,0
7197,4388,48.8632,2.4001,4,0,5,4,6,29,0,7,0
7254,4377,48.876,2.3375,0,0,3,1,7,31,0,7,0
7604,4387,48.8817,2.3834,0,0,5,1,6,49,0,14,0
8545,4385,48.8872,2.3075,0,0,3,1,7,46,0,14,0
9131,4383,48.8412,2.3002,0,0,3,4,7,27,0,14,0
3159,3710,44.0833,4.75,0,0,3,4,7,28,0,14,0
3045,7741,43.9664,4.79584,0,0,3,1,7,45,0,7,0
4121,4078,43.8333,4.35,0,0,3,3,7,45,0,14,0
1698,2201,43.1,5.88333,0,0,3,4,7,19,0,8,0
1353,7138,43.1167,5.93333,0,0,3,4,6,35,0,7,0
1619,7138,43.1167,5.93333,4,0,5,4,6,51,0,7,0
1521,6712,45.6939,-0.508333,0,0,5,3,6,35,0,14,0
104,4453,46.15,-1.08333,0,0,3,1,7,35,0,14,0
797,2181,46.1667,-1.15,0,0,3,4,7,54,0,14,0
11,2181,46.1667,-1.15,0,0,3,1,7,21,0,14,0
1013,6183,45.95,-0.516667,0,0,3,1,7,42,0,14,0
1708,6732,45.6667,-1.01667,0,0,3,1,7,49,0,14,0
1333,4804,47.0833,-0.083333,1,0,3,1,7,25,0,14,0
2665,4692,46.5833,0.333333,0,0,3,4,7,23,0,14,0
3948,3285,47.7833,7.0,0,0,3,4,7,39,0,14,0
99,3967,48.6833,6.2,0,0,5,1,6,36,0,14,0
1757,7778,48.6667,6.15,0,0,3,4,7,61,0,14,0
1943,5871,49.2614,3.98584,4,0,3,1,0,37,0,0,0
1089,1091,48.9667,4.31667,0,0,6,0,7,23,1,0,0
1089,1091,48.9667,4.31667,0,0,6,0,7,23,0,14,0
4171,4723,49.35,0.516667,0,0,3,4,7,18,0,14,0
2346,514,49.3333,0.616667,0,0,2,4,8,39,0,14,0
3191,2181,46.1667,-1.15,0,0,3,1,7,61,0,14,0
4045,2181,46.1667,-1.15,0,0,3,1,7,36,0,14,0
513,5347,45.9333,6.63333,0,0,6,1,8,29,0,14,0
3278,5347,45.9333,6.63333,0,0,3,1,7,43,0,14,0
4116,5885,46.2333,6.31667,0,0,3,4,7,61,0,14,0
2420,4041,48.0333,4.41667,0,0,2,4,3,35,0,14,0
4968,107,49.2,0.716667,0,0,3,4,7,56,0,8,0
5501,1846,49.3,1.35,1,0,3,4,7,44,0,14,0
171,5402,49.0,2.38333,0,0,3,1,7,43,0,14,0
164,4767,49.05,2.1,0,0,2,1,3,47,0,7,0
